OG_name,GCF_000277895,GCF_000961215,GCF_001908725,GCF_002285515,GCF_008370835,GCF_008639345,GCF_009769165,GCF_009883735,GCF_009931595,GCF_013388375,GCF_014236795,GCF_017301775,GCF_017724035,GCF_021906995,GCF_023337365,GCF_025266575,GCF_030168915,GCF_031834635,GCF_032697525,GCF_032698475,GCF_033170385,GCF_040529045,GCF_040529055,GCF_040529065,GCF_040616535,GCF_041519315,GCF_900183975,GCF_903989455,GCF_905367715
OG_10,KWO_RS00060,AMD14_RS00540,BJD12_RS12580,XJ27_RS16365,XOCgx_RS00060,FLG15_RS22230,FZ025_RS08800,EBN15_RS00055,XaFJ1_RS00055,AD14011_RS00055,G4Q83_RS18235,ISN38_RS10095,XeaCFBP3836p_RS00055,K8O61_RS00055,M3O59_RS00055,M0D43_RS11365,KHF85_RS00055,PG878_RS00055,NYR97_RS08430,NYR95_RS00055,QN245_RS00055,Q7W82_RS03045,RAB70_RS03260,RAB71_RS00685,RZV17_RS00055,ACDH77_RS00055,PD885_RS00060,H7A86_RS00055,KHN93_RS00055
OG_11,KWO_RS00065,AMD14_RS00545,BJD12_RS12600,XJ27_RS16375,XOCgx_RS00065,FLG15_RS22220,FZ025_RS08805,EBN15_RS00060,XaFJ1_RS00065,AD14011_RS00060,G4Q83_RS17465,ISN38_RS10090,XeaCFBP3836p_RS00065,K8O61_RS00060,M3O59_RS00065,M0D43_RS11355,KHF85_RS00060,PG878_RS00065,NYR97_RS08420,NYR95_RS00070,QN245_RS00065,Q7W82_RS03035,RAB70_RS03270,RAB71_RS00675,RZV17_RS00060,ACDH77_RS00065,PD885_RS00075,H7A86_RS00065,KHN93_RS00065
OG_12,KWO_RS00070,AMD14_RS00550,BJD12_RS12605,XJ27_RS16380,XOCgx_RS00070,FLG15_RS22215,FZ025_RS08810,EBN15_RS00065,XaFJ1_RS00070,AD14011_RS00065,G4Q83_RS17460,ISN38_RS10085,XeaCFBP3836p_RS00070,K8O61_RS00065,M3O59_RS00070,M0D43_RS11350,KHF85_RS00065,PG878_RS00070,NYR97_RS08415,NYR95_RS00075,QN245_RS00070,Q7W82_RS03030,RAB70_RS03275,RAB71_RS00670,RZV17_RS00065,ACDH77_RS00070,PD885_RS00080,H7A86_RS00070,KHN93_RS00070
OG_13,KWO_RS00075,AMD14_RS00555,BJD12_RS12610,XJ27_RS16385,XOCgx_RS00075,FLG15_RS22210,FZ025_RS08815,EBN15_RS00070,XaFJ1_RS00075,AD14011_RS00070,G4Q83_RS17455,ISN38_RS10080,XeaCFBP3836p_RS00075,K8O61_RS00070,M3O59_RS00075,M0D43_RS11345,KHF85_RS00070,PG878_RS00075,NYR97_RS08410,NYR95_RS00080,QN245_RS00075,Q7W82_RS03025,RAB70_RS03280,RAB71_RS00665,RZV17_RS00070,ACDH77_RS00075,PD885_RS00085,H7A86_RS00075,KHN93_RS00075
OG_14,KWO_RS00080,AMD14_RS00570,BJD12_RS12615,XJ27_RS16390,XOCgx_RS00185,FLG15_RS22195,,EBN15_RS00075,XaFJ1_RS00080,AD14011_RS00075,G4Q83_RS17105,ISN38_RS10075,XeaCFBP3836p_RS00090,K8O61_RS00075,M3O59_RS00080,M0D43_RS11330,KHF85_RS00075,PG878_RS00080,NYR97_RS08405,NYR95_RS00085,QN245_RS00080,Q7W82_RS03020,RAB70_RS03290,RAB71_RS00655,RZV17_RS00075,ACDH77_RS00090,PD885_RS00090,H7A86_RS00080,KHN93_RS00080
OG_15,KWO_RS00085,AMD14_RS00575,BJD12_RS12620,XJ27_RS16395,,FLG15_RS21775,,EBN15_RS00080,XaFJ1_RS00085,AD14011_RS00080,,ISN38_RS10070,XeaCFBP3836p_RS00095,K8O61_RS00080,,M0D43_RS11325,KHF85_RS00080,PG878_RS00085,NYR97_RS08400,NYR95_RS00090,QN245_RS00085,Q7W82_RS03015,RAB70_RS03295,RAB71_RS00650,RZV17_RS00080,ACDH77_RS00095,,H7A86_RS00085,KHN93_RS00085
OG_16,KWO_RS00095,AMD14_RS00580,BJD12_RS12630,XJ27_RS16400,XOCgx_RS00175,FLG15_RS21780,FZ025_RS07020,EBN15_RS00085,XaFJ1_RS01660,AD14011_RS00085,G4Q83_RS17675,ISN38_RS08185,XeaCFBP3836p_RS00100,K8O61_RS02015,M3O59_RS00090,M0D43_RS11320,KHF85_RS02570,PG878_RS02520,NYR97_RS08395,NYR95_RS00095,QN245_RS02345,Q7W82_RS00740,RAB70_RS05690,RAB71_RS19420,RZV17_RS00085,ACDH77_RS00100,PD885_RS00100,H7A86_RS00090,KHN93_RS00090
OG_17,KWO_RS00100,AMD14_RS00585,BJD12_RS12635,XJ27_RS16405,XOCgx_RS00170,FLG15_RS21785,FZ025_RS07025,EBN15_RS00090,XaFJ1_RS01655,AD14011_RS00090,G4Q83_RS17680,ISN38_RS08190,XeaCFBP3836p_RS00105,K8O61_RS02010,M3O59_RS00095,M0D43_RS11315,KHF85_RS02565,PG878_RS02515,NYR97_RS08390,NYR95_RS00100,QN245_RS02340,Q7W82_RS00745,RAB70_RS05685,RAB71_RS19425,RZV17_RS00090,ACDH77_RS00105,PD885_RS00105,H7A86_RS00095,KHN93_RS00095
OG_18,KWO_RS00105,AMD14_RS00590,BJD12_RS12640,XJ27_RS16410,XOCgx_RS00165,FLG15_RS21790,FZ025_RS07030,EBN15_RS00095,XaFJ1_RS01650,AD14011_RS00095,G4Q83_RS17685,ISN38_RS08195,XeaCFBP3836p_RS00110,K8O61_RS02005,M3O59_RS00100,M0D43_RS11310,KHF85_RS02560,PG878_RS02510,NYR97_RS08385,NYR95_RS00105,QN245_RS02335,Q7W82_RS00750,RAB70_RS05680,RAB71_RS19430,RZV17_RS00095,ACDH77_RS00110,PD885_RS00110,H7A86_RS00100,KHN93_RS00100
OG_19,KWO_RS00110,AMD14_RS00595,BJD12_RS12645,XJ27_RS16415,XOCgx_RS00160,FLG15_RS21795,,,XaFJ1_RS01645,AD14011_RS00100,,,XeaCFBP3836p_RS00115,K8O61_RS02000,,M0D43_RS11305,KHF85_RS02555,PG878_RS02505,NYR97_RS08380,NYR95_RS00110,QN245_RS02330,,RAB70_RS05675,RAB71_RS19435,,ACDH77_RS00115,PD885_RS00115,H7A86_RS00105,KHN93_RS00105
OG_20,KWO_RS00115,AMD14_RS00600,BJD12_RS12650,XJ27_RS16420,XOCgx_RS00155,FLG15_RS21800,FZ025_RS07035,EBN15_RS00105,XaFJ1_RS01640,AD14011_RS00105,G4Q83_RS15505,ISN38_RS08200,XeaCFBP3836p_RS00120,K8O61_RS01995,M3O59_RS00105,M0D43_RS11300,KHF85_RS02550,PG878_RS02500,NYR97_RS08375,NYR95_RS00115,QN245_RS02325,Q7W82_RS00760,RAB70_RS05670,RAB71_RS19440,RZV17_RS00105,ACDH77_RS00120,PD885_RS00120,H7A86_RS00110,KHN93_RS00110
OG_21,KWO_RS00120,AMD14_RS00605,BJD12_RS12660,XJ27_RS16425,XOCgx_RS00150,FLG15_RS21805,FZ025_RS07040,EBN15_RS00110,XaFJ1_RS01635,AD14011_RS00115,G4Q83_RS15510,ISN38_RS08205,XeaCFBP3836p_RS00125,K8O61_RS01990,M3O59_RS00110,M0D43_RS11295,KHF85_RS02545,PG878_RS02495,NYR97_RS08370,NYR95_RS00120,QN245_RS02320,Q7W82_RS00765,RAB70_RS05665,RAB71_RS19445,RZV17_RS00110,ACDH77_RS00125,PD885_RS00125,H7A86_RS00115,KHN93_RS00115
OG_22,KWO_RS00125,AMD14_RS00610,BJD12_RS12665,XJ27_RS16430,XOCgx_RS00145,FLG15_RS21810,FZ025_RS07045,EBN15_RS00115,XaFJ1_RS01630,AD14011_RS00120,G4Q83_RS15515,ISN38_RS08210,XeaCFBP3836p_RS00130,K8O61_RS01985,M3O59_RS00115,M0D43_RS11290,KHF85_RS02540,PG878_RS02490,NYR97_RS08365,NYR95_RS00125,QN245_RS02315,Q7W82_RS00770,RAB70_RS05660,RAB71_RS19450,RZV17_RS00115,ACDH77_RS00130,,H7A86_RS00120,KHN93_RS00120
OG_23,KWO_RS00130,AMD14_RS00615,BJD12_RS12670,XJ27_RS16435,XOCgx_RS00140,FLG15_RS21815,FZ025_RS07050,EBN15_RS00120,,AD14011_RS00125,G4Q83_RS15520,ISN38_RS08215,XeaCFBP3836p_RS00135,K8O61_RS01980,M3O59_RS00120,M0D43_RS11285,KHF85_RS02535,PG878_RS02485,NYR97_RS08360,NYR95_RS00130,QN245_RS02310,Q7W82_RS00775,RAB70_RS05655,RAB71_RS19455,RZV17_RS00120,ACDH77_RS00135,PD885_RS00135,H7A86_RS00125,KHN93_RS00125
OG_24,KWO_RS00135,AMD14_RS00620,BJD12_RS12675,XJ27_RS16440,XOCgx_RS00135,FLG15_RS21820,,,,AD14011_RS00135,,,XeaCFBP3836p_RS00140,,M3O59_RS00130,M0D43_RS11280,,,NYR97_RS08355,NYR95_RS00135,,,,,RZV17_RS00125,ACDH77_RS00140,PD885_RS00140,H7A86_RS00130,KHN93_RS00130
OG_25,KWO_RS00140;KWO_RS00180;KWO_RS00380;KWO_RS01990;KWO_RS02220;KWO_RS02300;KWO_RS03520;KWO_RS03800;KWO_RS03985;KWO_RS05355;KWO_RS05970;KWO_RS05980;KWO_RS06165;KWO_RS06495;KWO_RS07365;KWO_RS08310;KWO_RS08885;KWO_RS09375;KWO_RS09985;KWO_RS10080;KWO_RS10690;KWO_RS12535;KWO_RS12850;KWO_RS12860;KWO_RS13470;KWO_RS13805;KWO_RS15970;KWO_RS16055;KWO_RS16070;KWO_RS16605;KWO_RS16675;KWO_RS17830;KWO_RS21160;KWO_RS21745,,,,XOCgx_RS02955,FLG15_RS22835;FLG15_RS23250;FLG15_RS23270,,EBN15_RS01095;EBN15_RS12545;EBN15_RS12935,,,G4Q83_RS00055;G4Q83_RS00255;G4Q83_RS00355;G4Q83_RS00520;G4Q83_RS01095;G4Q83_RS01100;G4Q83_RS01115;G4Q83_RS02515;G4Q83_RS02525;G4Q83_RS02990;G4Q83_RS03020;G4Q83_RS03150;G4Q83_RS03950;G4Q83_RS03990;G4Q83_RS04200;G4Q83_RS04690;G4Q83_RS05190;G4Q83_RS06665;G4Q83_RS07265;G4Q83_RS07395;G4Q83_RS07415;G4Q83_RS07690;G4Q83_RS07895;G4Q83_RS08070;G4Q83_RS08645;G4Q83_RS09195;G4Q83_RS09210;G4Q83_RS09215;G4Q83_RS09540;G4Q83_RS09550;G4Q83_RS09570;G4Q83_RS09780;G4Q83_RS09790;G4Q83_RS09800;G4Q83_RS10075;G4Q83_RS11100;G4Q83_RS11395;G4Q83_RS11545;G4Q83_RS11690;G4Q83_RS11695;G4Q83_RS11710;G4Q83_RS11895;G4Q83_RS11910;G4Q83_RS12035;G4Q83_RS14275;G4Q83_RS15470;G4Q83_RS15660;G4Q83_RS15920;G4Q83_RS15925;G4Q83_RS16225;G4Q83_RS16230;G4Q83_RS16765;G4Q83_RS18060;G4Q83_RS18115;G4Q83_RS19815;G4Q83_RS19820;G4Q83_RS20010;G4Q83_RS20025;G4Q83_RS20035;G4Q83_RS20190;G4Q83_RS21330;G4Q83_RS21995;G4Q83_RS22005,,,,M3O59_RS02050;M3O59_RS10310;M3O59_RS10330;M3O59_RS10340;M3O59_RS15610;M3O59_RS16760;M3O59_RS17520;M3O59_RS18325;M3O59_RS20250;M3O59_RS20820,,,,,,,,,,,,,,
OG_26,KWO_RS00145,AMD14_RS00625,BJD12_RS12680,XJ27_RS16450,XOCgx_RS00130,FLG15_RS21825,,EBN15_RS00125,,AD14011_RS00140,,,XeaCFBP3836p_RS00145,,M3O59_RS00140,M0D43_RS11275,,PG878_RS00815,NYR97_RS08345,NYR95_RS00140,,,,,RZV17_RS00130,ACDH77_RS00145,PD885_RS06345,H7A86_RS00135,KHN93_RS00135
OG_27,KWO_RS00155,AMD14_RS00630,BJD12_RS12685,XJ27_RS16455,XOCgx_RS00105,FLG15_RS21830,FZ025_RS08835,EBN15_RS00130,,AD14011_RS00145,,ISN38_RS09395,XeaCFBP3836p_RS00150,K8O61_RS00685,M3O59_RS00145,M0D43_RS11270,KHF85_RS00785,,NYR97_RS08340,NYR95_RS00150,QN245_RS00715,Q7W82_RS02295,RAB70_RS04110,RAB71_RS20990,RZV17_RS00135,ACDH77_RS00155,PD885_RS00615,H7A86_RS00140,KHN93_RS00140
OG_28,KWO_RS00165,AMD14_RS00635,BJD12_RS12690,XJ27_RS16460,XOCgx_RS00100,FLG15_RS21840,FZ025_RS08840,EBN15_RS00135,,AD14011_RS00150,,ISN38_RS09390,XeaCFBP3836p_RS00155,K8O61_RS00690,M3O59_RS00150,M0D43_RS11265,KHF85_RS00790,PG878_RS00820,NYR97_RS08335,NYR95_RS00155,QN245_RS00720,Q7W82_RS02290,RAB70_RS04115,RAB71_RS20985,RZV17_RS00140,ACDH77_RS00165,PD885_RS00605,H7A86_RS00145,KHN93_RS00145
OG_29,KWO_RS00175,AMD14_RS00640,BJD12_RS12695,XJ27_RS16465,XOCgx_RS00090,FLG15_RS21850,FZ025_RS07055,EBN15_RS00140,XaFJ1_RS01620,AD14011_RS00155,,ISN38_RS08220,XeaCFBP3836p_RS00160,K8O61_RS01975,M3O59_RS00155,M0D43_RS11260,KHF85_RS02530,PG878_RS02480,NYR97_RS08330,NYR95_RS00160,QN245_RS02305,Q7W82_RS00780,RAB70_RS05650,RAB71_RS19460,RZV17_RS00145,ACDH77_RS00170,PD885_RS00595,H7A86_RS00150,KHN93_RS00150
OG_30,KWO_RS00185,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OG_31,KWO_RS00190,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OG_32,KWO_RS00195,AMD14_RS00645,BJD12_RS12700,XJ27_RS16475,XOCgx_RS22395,FLG15_RS21865,FZ025_RS08845,EBN15_RS00145,XaFJ1_RS15275,AD14011_RS00165,G4Q83_RS17530,ISN38_RS09385,XeaCFBP3836p_RS00175,K8O61_RS00710,M3O59_RS00165,M0D43_RS11245,KHF85_RS00795,PG878_RS00825,NYR97_RS08320,NYR95_RS00170,QN245_RS00725,Q7W82_RS02285,RAB70_RS04125,RAB71_RS20980,RZV17_RS00150,ACDH77_RS00180,PD885_RS00590,H7A86_RS00160,KHN93_RS00160
OG_33,KWO_RS00200,AMD14_RS00650,BJD12_RS12705,XJ27_RS16480,XOCgx_RS22390,FLG15_RS21870,FZ025_RS08850,EBN15_RS00150,XaFJ1_RS15270,AD14011_RS00170,G4Q83_RS17525,ISN38_RS09380,XeaCFBP3836p_RS00180,K8O61_RS00715,M3O59_RS00170,M0D43_RS11240,KHF85_RS00800,PG878_RS00830,NYR97_RS08315,NYR95_RS00175,QN245_RS00730,Q7W82_RS02280,RAB70_RS04130,RAB71_RS20975,RZV17_RS00155,ACDH77_RS00185,PD885_RS00585,H7A86_RS00165,KHN93_RS00165
OG_34,KWO_RS00205,AMD14_RS00655,BJD12_RS12710,XJ27_RS16485,XOCgx_RS22385,FLG15_RS21875,FZ025_RS08855,EBN15_RS00155,XaFJ1_RS15265,AD14011_RS00175,G4Q83_RS17520,ISN38_RS09375,XeaCFBP3836p_RS00185,K8O61_RS00720,M3O59_RS00175,M0D43_RS11235,KHF85_RS00805,PG878_RS00835,NYR97_RS08310,NYR95_RS00185,QN245_RS00735,Q7W82_RS02275,RAB70_RS04135,RAB71_RS20970,RZV17_RS00160,ACDH77_RS00190,PD885_RS00580,H7A86_RS00170,KHN93_RS00170
OG_35,KWO_RS00210,AMD14_RS00660,BJD12_RS12715,XJ27_RS16490,XOCgx_RS22380,FLG15_RS21880,,EBN15_RS00160,,AD14011_RS00180,G4Q83_RS17515,ISN38_RS09370,XeaCFBP3836p_RS00190,K8O61_RS00725,M3O59_RS00180,M0D43_RS11230,KHF85_RS00810,PG878_RS00840,NYR97_RS08305,NYR95_RS00190,QN245_RS00740,Q7W82_RS02270,RAB70_RS04140,RAB71_RS20965,RZV17_RS00165,ACDH77_RS00195,,H7A86_RS00175,KHN93_RS00175
OG_36,KWO_RS00215,AMD14_RS00665,BJD12_RS12720,XJ27_RS16505,XOCgx_RS22375,FLG15_RS21885,FZ025_RS08860,EBN15_RS00165,,AD14011_RS00190,G4Q83_RS17510,ISN38_RS09365,XeaCFBP3836p_RS00195,K8O61_RS00730,M3O59_RS00185,M0D43_RS11225,KHF85_RS00815,PG878_RS00845,NYR97_RS08290,NYR95_RS00260,QN245_RS00745,Q7W82_RS02265,RAB70_RS04145,RAB71_RS20960,RZV17_RS00170,ACDH77_RS00200,PD885_RS17995,H7A86_RS00190,KHN93_RS00190
OG_37,KWO_RS00220,,BJD12_RS12730,XJ27_RS16535,,,,,,,,ISN38_RS09915,XeaCFBP3836p_RS00200,,,,KHF85_RS05705,,NYR97_RS08255,NYR95_RS00295,,,,,,ACDH77_RS00205,,,KHN93_RS00230
OG_38,KWO_RS00225,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OG_39,KWO_RS00230,AMD14_RS00830,BJD12_RS12765,XJ27_RS16590,,FLG15_RS21900,,,,AD14011_RS00230,,ISN38_RS09350,XeaCFBP3836p_RS00215,K8O61_RS00745,,M0D43_RS11045,KHF85_RS00935,PG878_RS00875,NYR97_RS08240,NYR95_RS00330,QN245_RS00775,Q7W82_RS02235,RAB70_RS04175,RAB71_RS20930,RZV17_RS00215,ACDH77_RS00220,,,KHN93_RS00270
OG_40,KWO_RS00235,AMD14_RS00835,BJD12_RS12770,XJ27_RS16595,,FLG15_RS21905,,,,AD14011_RS00235,,,XeaCFBP3836p_RS00220,,,M0D43_RS11040,,PG878_RS00880,NYR97_RS08235,NYR95_RS00335,,,,RAB71_RS20925,RZV17_RS00220,ACDH77_RS00225,,,KHN93_RS00275
OG_41,KWO_RS00250,AMD14_RS24480,BJD12_RS12780,XJ27_RS24145,,FLG15_RS21920,,,,AD14011_RS00240,,,XeaCFBP3836p_RS00230,,,M0D43_RS11035,,,NYR97_RS08230,NYR95_RS00345,,,,,RZV17_RS00225,ACDH77_RS00235,,,
OG_42,KWO_RS00255,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OG_43,KWO_RS00260,AMD14_RS00850,BJD12_RS12800,XJ27_RS16610,XOCgx_RS22355,FLG15_RS21930,,EBN15_RS00510,,AD14011_RS00255,,,XeaCFBP3836p_RS00445,,M3O59_RS02395,M0D43_RS11025,,,NYR97_RS08215,NYR95_RS02250,,,RAB70_RS07670,,RZV17_RS00235,ACDH77_RS00245,PD885_RS18010,,KHN93_RS00285
OG_44,KWO_RS00265,AMD14_RS00855,BJD12_RS12805,XJ27_RS16615,XOCgx_RS22350,FLG15_RS21935,,EBN15_RS00515,,AD14011_RS00260,,,XeaCFBP3836p_RS00450,,M3O59_RS02390,M0D43_RS11020,,,,NYR95_RS02255,,,RAB70_RS07675,,,ACDH77_RS00250,PD885_RS18015,,KHN93_RS00290
OG_45,KWO_RS00270,AMD14_RS00860,BJD12_RS12810,XJ27_RS16620,XOCgx_RS22345,FLG15_RS21940,,,,AD14011_RS00265,,,XeaCFBP3836p_RS00455,,M3O59_RS02385,M0D43_RS11015,,,,NYR95_RS02260,,,RAB70_RS07680,,,ACDH77_RS00255,,,KHN93_RS00295
OG_46,KWO_RS00275,AMD14_RS00865,BJD12_RS12815,XJ27_RS16625,XOCgx_RS22340,FLG15_RS21945,FZ025_RS08865,EBN15_RS00525,,,,ISN38_RS09355;ISN38_RS09360,XeaCFBP3836p_RS00460,K8O61_RS00735;K8O61_RS00740,M3O59_RS02380,M0D43_RS11010,KHF85_RS00820,,,NYR95_RS02265,,,,,,ACDH77_RS00260,PD885_RS18025,,KHN93_RS00300
OG_47,KWO_RS00280,AMD14_RS00870,BJD12_RS12820,XJ27_RS16630,XOCgx_RS22335,FLG15_RS21955,FZ025_RS22325,EBN15_RS00530,XaFJ1_RS15260,AD14011_RS00270,G4Q83_RS23690,ISN38_RS09340,XeaCFBP3836p_RS00465,K8O61_RS00755,M3O59_RS00200,M0D43_RS11005,KHF85_RS00945,PG878_RS00885,NYR97_RS08210,NYR95_RS00360,QN245_RS00785,Q7W82_RS02225,RAB70_RS04185,RAB71_RS20920,RZV17_RS00240,ACDH77_RS00265,PD885_RS18030,H7A86_RS00225,KHN93_RS00305
OG_48,KWO_RS00285,AMD14_RS00875,BJD12_RS12825,XJ27_RS16635,XOCgx_RS22330,FLG15_RS21960,FZ025_RS08880,EBN15_RS00535,XaFJ1_RS15255,AD14011_RS00275,G4Q83_RS18010,ISN38_RS09335,XeaCFBP3836p_RS00470,K8O61_RS00760,M3O59_RS00205,M0D43_RS11000,KHF85_RS00950,PG878_RS00890,NYR97_RS08205,NYR95_RS00365,QN245_RS00790,Q7W82_RS02220,RAB70_RS04190,RAB71_RS20915,RZV17_RS00245,ACDH77_RS00270,PD885_RS18035,H7A86_RS00230,KHN93_RS00310
